"plot","sampleid","site","vegplot_area_cm2","species.x","LAI","chl","spal_live_stem_count","core_area_cm2","core_live_stem_count","plot_ag_1","plot_ag_2","stemsm2","species.y","live_stem_g","dead_stem_g","TotalBG_0_10_g","Rhizomes_0_10_g","TotalBG_10_30_g","Rhizomes_10_30_g","ag.total","survey","area","bg.total","rhiz.total","rhiz.shoot","rhiz.green.shoot","rhizm2.core","rootgreenshoot","rootshoot","bgm2.core","agm2.core","date","percent_n","percent_c","cn_ratio","percentC","percentN","elevation","lat","long","bgm2.areascaled","agm2.core.areascaled","rhizm2.areascaled","bgm2.core.stemscaled","agm2.core.stemscaled","zone","agm2.allom","agm2.allom.new","bgm2.allometric.rootshoot","bgm2.allometric.rootgreenshoot","bgm2.allo.new.rootshoot","bgm2.allo.new.rootgreenshoot","rhizm2.allometric.rootshoot","rhizm2.allometric.rootgreenshoot","rhizm2.allo.new.rootshoot","rhizm2.allo.new.rootgreenshoot","rhizm2.core.stemscaled","AGCg","wholeplantCg"
"dc2","106dc2","deans",625,"spal",1.35,1.2,15,45.6036731187748,2,39.9306628791531,33.8805217922675,240,"spal",10.31,0.1,5,3.6,2.37,1.41,10.41,106,45.6036731187748,7.37,5.01,0.481268011527377,0.485935984481086,1098.59571770709,0.714839961202716,0.707973102785783,1616.09789211602,2282.71086254108,2021-08-12,0.8,51.8,64.75,51.55,0.8,0.628,31.38738887,-81.27473574,1616.09789211602,2282.71086254108,1098.59571770709,884.4,1249.2,NA,638.89060606645,542.08834867628,452.317364717554,456.704536053321,383.783970196367,387.506414136196,307.477611565122,310.459935634618,260.889781639593,263.420235389734,80.16,329.348107427255,2009.83591302574
"dc2","109dc2","deans",625,"spal",1.19,1,19,45.6036731187748,2,38.2841022299552,36.1148451467909,304,"spal",3.89,0,3.28,2.71,3.64,2.89,3.89,109,45.6036731187748,6.92,5.6,1.43958868894602,1.43958868894602,1227.97126130932,1.77892030848329,1.77892030848329,1517.42163004652,853.001465445227,2021-11-15,1.2,41.5,34.58,41.7,1.2,0.628,31.38738887,-81.27473574,1517.42163004652,853.001465445227,1227.97126130932,1051.84,591.28,NA,612.545635679282,577.837522348655,1089.66987118268,1089.66987118268,1027.92690350969,1027.92690350969,881.813768587142,881.813768587142,831.848361221714,831.848361221714,89.6,255.431530078261,988.466430820059
"dc2","104dc2","deans",625,"spal",1.34,1,3,45.6036731187748,2,8.26256963909637,6.58747329064475,48,"spal",11.12,0,3.57,3.27,5.6,4.4,11.12,104,45.6036731187748,9.17,7.67,0.689748201438849,0.689748201438849,1681.88206682902,0.824640287769784,0.824640287769784,2010.80294039402,2438.40007602851,2021-06-17,0.9,39.8,44.22,39.8,0.9,0.628,31.38738887,-81.27473574,2010.80294039402,2438.40007602851,1681.88206682902,220.08,266.88,NA,132.201114225542,105.399572650316,109.018364878437,109.018364878437,86.9167339211689,86.9167339211689,91.1854807652794,91.1854807652794,72.6991656679788,72.6991656679788,122.72,52.6160434617657,1770.78280053617
"dc2","119dc2","deans",625,"spal",1.34,0.9,21,45.6036731187748,1,50.2186146460325,39.3373021670834,336,"spal",6.15,0,3.59,2.96,0.66,0.49,6.15,119,45.6036731187748,4.25,3.45,0.560975609756098,0.560975609756098,756.518009199494,0.691056910569106,0.691056910569106,931.942475100826,1348.57558161649,2022-08-07,1.4,37.9,27.07,37.9,1.4,0.628,31.38738887,-81.27473574,931.942475100826,1348.57558161649,756.518009199494,1428,2066.4,NA,803.497834336521,629.396834673334,555.262731045563,555.262731045563,434.949032091328,434.949032091328,450.742687554634,450.742687554634,353.076273109431,353.076273109431,55.2,304.525679213541,864.316343495863
"dc2","116dc2","deans",625,"spal",1.55,0.9,16,45.6036731187748,1,61.0743985842879,47.5947368295325,256,"spal",3.82,6.36,5.07,3.31,7.39,6.42,10.18,116,45.6036731187748,12.46,9.73,0.955795677799607,2.54712041884817,2133.60006652495,3.26178010471204,1.22396856581532,2732.23605641325,2232.27632859445,2022-05-07,1.2,37.5,31.25,37.5,1.2,0.628,31.38738887,-81.27473574,2732.23605641325,2232.27632859445,2133.60006652495,3189.76,2606.08,NA,977.190377348606,761.51578927252,1196.05030469191,3187.38013135174,932.07138844161,2483.89705087319,933.994339057165,2489.02156324658,727.853499962831,1939.67241613131,155.68,366.446391505727,1861.69214437789
"dc2","122dc2","deans",NA,NA,NA,NA,NA,45.6036731187748,3,26.8125088040497,24.2118775290148,NA,"spal",4.3,0,2.73,1.62,2.19,1.79,4.3,122,45.6036731187748,4.92,3.41,0.793023255813954,0.793023255813954,747.746785904428,1.14418604651163,1.14418604651163,1078.86046529319,942.906504219659,2022-11-03,1.8,44.5,24.72,44.5,1.8,0.628,31.38738887,-81.27473574,1078.86046529319,942.906504219659,747.746785904428,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,899.686301433219
"dc3","106dc3","deans",625,"spal",1.65,1.1,8,45.6036731187748,1,23.5327929610947,20.363755672223,128,"spal",8.17,0,6.24,4.8,2.91,2,8.17,106,45.6036731187748,9.15,6.8,0.832313341493268,0.832313341493268,1491.10796016132,1.11995104039168,1.11995104039168,2006.41732874649,1791.52235801735,2021-08-12,1,39.3,39.3,39.3,1,0.871,31.3875084,-81.27463892,2006.41732874649,1791.52235801735,1491.10796016132,1171.2,1045.76,NA,376.524687377516,325.820090755569,421.6892153616,421.6892153616,364.90254962221,364.90254962221,313.386520705888,313.386520705888,271.184408462407,271.184408462407,108.8,147.974202139364,1492.59029689819
"dc3","113dc3","deans",625,"spal",1.07,0.9,14,45.6036731187748,1,16.2506750221009,19.0616803562701,224,"spal",1.76,0,2.21,1.41,1.92,1.3,1.76,113,45.6036731187748,4.13,2.71,1.53977272727273,1.53977272727273,594.250378240762,2.34659090909091,2.34659090909091,905.628805215626,385.93382498293,2022-02-28,1.5,43.2,28.8,43.2,1.5,0.871,31.3875084,-81.27463892,905.628805215626,385.93382498293,594.250378240762,925.12,394.24,NA,260.010800353614,304.986885700322,610.138980375241,610.138980375241,715.679453376325,715.679453376325,400.357539180848,400.357539180848,469.610488777201,469.610488777201,43.36,112.324665752761,557.955056245777
"dc3","125dc3","deans",625,"spal",1.09,1.2,22,45.6036731187748,3,18.0645618206262,24.1526188674372,352,"spal",2.79,4.93,7.97,5.54,5.25,3.19,7.72,125,45.6036731187748,13.22,8.73,1.13082901554404,3.12903225806452,1914.31948414829,4.73835125448029,1.71243523316062,2898.88929901951,1692.84609594785,2023-02-16,1.6,44.5,27.81,44.5,1.6,0.871,31.3875084,-81.27463892,2898.88929901951,1692.84609594785,1914.31948414829,1551.14666666667,905.813333333333,NA,289.032989130019,386.441901878995,494.950274131976,1369.53982663041,661.75672834719,1831.09747055208,326.846890557651,904.39354663264,436.99971546679,1209.18917684718,139.68,128.619680162858,2043.32225076048
"dc3","104dc3","deans",625,"spal",2.43,0.9,7,45.6036731187748,2,18.5707575806843,16.4066652149865,112,"spal",10.72,8.19,9.35,7.66,7.82,6.09,18.91,104,45.6036731187748,17.17,13.75,0.727128503437335,1.28264925373134,3015.10800767914,1.60167910447761,0.907985193019566,3765.04759940734,4146.59581274274,2021-06-17,1.2,37.2,31,37.2,1.2,0.871,31.3875084,-81.27463892,3765.04759940734,4146.59581274274,3015.10800767914,961.52,1058.96,NA,297.132121290948,262.506643439784,269.791566502675,475.910309940819,238.352145312591,420.451405584057,216.053234677448,381.116293633446,190.876062786728,336.703950307559,220,110.533149120233,2943.13134931983
"dc3","122dc3","deans",NA,NA,NA,NA,NA,45.6036731187748,4,19.8715200183225,22.7406768383225,NA,"spal",8,0,5.38,4.29,5.94,4.28,8,122,45.6036731187748,11.32,8.57,1.07125,1.07125,1879.23459096802,1.415,1.415,2482.25619250385,1754.24465901332,2022-11-03,1.6,43.6,27.25,43.6,1.6,0.871,31.3875084,-81.27463892,2482.25619250385,1754.24465901332,1879.23459096802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1847.11437126149
"dc3","116dc3","deans",625,"spal",1.34,0.6,12,45.6036731187748,1,26.7268671328643,25.2567250893183,192,"spal",2.84,0.21,2.24,1.26,4.05,2.6,3.05,116,45.6036731187748,6.29,3.86,1.2655737704918,1.35915492957746,846.423047973927,2.21478873239437,2.06229508196721,1379.27486314922,668.805776248828,2022-05-07,1.2,41.8,34.83,41.8,1.2,0.871,31.3875084,-81.27463892,1379.27486314922,668.805776248828,846.423047973927,1207.68,585.6,NA,427.62987412583,404.107601429093,881.898986311957,947.109826849108,833.389119012785,895.012962320068,541.197152172361,581.215251452712,511.427980825016,549.244838562077,61.76,178.749287384597,856.097707268385
"dc3","109dc3","deans",625,"spal",0.97,1.4,16,45.6036731187748,3,22.0858272151445,23.5092608797679,256,"spal",7.24,0,2.07,1.68,5.33,3.6,7.24,109,45.6036731187748,7.4,5.28,0.729281767955801,0.729281767955801,1157.80147494879,1.02209944751381,1.02209944751381,1622.67630958732,1587.59141640705,2021-11-15,1.4,42,30,42,1.4,0.871,31.3875084,-81.27463892,1622.67630958732,1587.59141640705,1157.80147494879,631.466666666667,617.813333333333,NA,353.373235442311,376.148174076286,361.182588711755,361.182588711755,384.460840906701,384.460840906701,257.70865789163,257.70865789163,274.3180054037,274.3180054037,84.48,148.416758885771,1348.31244491764
"dc3","119dc3","deans",625,"spal",0.84,1,12,45.6036731187748,1,25.8897827379127,23.7869732250279,192,"spal",6,0,1.72,1.02,2.95,1.9,6,119,45.6036731187748,4.67,2.92,0.486666666666667,0.486666666666667,640.299300539862,0.778333333333333,0.778333333333333,1024.04031969903,1315.68349425999,2022-08-07,1.7,39,22.94,39,1.7,0.871,31.3875084,-81.27463892,1024.04031969903,1315.68349425999,640.299300539862,896.64,1152,NA,414.236523806603,380.591571600447,322.414094362806,322.414094362806,296.227106562348,296.227106562348,201.595108252547,201.595108252547,185.221231512217,185.221231512217,46.72,161.552244284575,912.492287444016
"dc4","113dc4","deans",625,"spal",0.9,1,24,45.6036731187748,3,20.2005911668079,27.6535838528106,384,"spal",2.14,0,2.51,1.85,2.53,1.48,2.14,113,45.6036731187748,5.04,3.33,1.55607476635514,1.55607476635514,730.204339314295,2.35514018691589,2.35514018691589,1105.17413517839,469.260446286063,2022-02-28,1.3,52,40,52,1.3,0.804,31.38755733,-81.27455748,1105.17413517839,469.260446286063,730.204339314295,645.12,273.92,NA,323.209458668927,442.457341644969,761.203584902519,761.203584902519,1042.04906630404,1042.04906630404,502.938082882022,502.938082882022,688.496704522312,688.496704522312,53.28,168.068918507842,818.705982361516
"dc4","109dc4","deans",625,"spal",0.94,1,16,45.6036731187748,4,22.8516379930572,24.2263926743984,256,"spal",9.19,0,6.18,4.44,2.47,1.83,9.19,109,45.6036731187748,8.65,6.27,0.682263329706203,0.682263329706203,1374.88925150169,0.941240478781284,0.941240478781284,1896.77703755815,2015.18855204155,2021-11-15,1.2,42.9,35.75,42.9,1.2,0.804,31.38755733,-81.27455748,1896.77703755815,2015.18855204155,1374.88925150169,553.6,588.16,NA,365.626207888916,387.622282790375,344.142186968348,344.142186968348,364.845783039907,364.845783039907,249.453354022144,249.453354022144,264.46046932488,264.46046932488,100.32,156.853643184345,1678.23323793827
"dc4","125dc4","deans",625,"spal",1.09,1.4,18,45.6036731187748,4,15.5742603459858,20.4915687391703,288,"spal",2.62,0,3.59,1.73,2.27,0.96,2.62,125,45.6036731187748,5.86,2.69,1.02671755725191,1.02671755725191,589.864766593229,2.23664122137405,2.23664122137405,1284.98421272726,574.515125826862,2023-02-16,1.4,42.9,30.64,42.9,1.4,0.804,31.38755733,-81.27455748,1284.98421272726,574.515125826862,589.864766593229,421.92,188.64,NA,249.188165535773,327.865099826725,557.344522915889,557.344522915889,733.316597322369,733.316597322369,255.845864614973,255.845864614973,336.624854402248,336.624854402248,43.04,106.901723014847,797.725216239717
"dc4","104dc4","deans",625,"spal",2.24,0.8,8,45.6036731187748,3,18.0352362781086,17.4435179329783,128,"spal",12.07,3.33,4.23,2.74,11.61,9.85,15.4,104,45.6036731187748,15.84,12.59,0.817532467532468,1.04308202154101,2760.74253212221,1.31234465617233,1.02857142857143,3473.40442484637,3376.92096860064,2021-06-17,0.7,39.9,57,39.9,0.7,0.804,31.38755733,-81.27455748,3473.40442484637,3376.92096860064,2760.74253212221,675.84,657.066666666667,NA,288.563780449738,279.096286927653,296.808459891159,378.695135238098,287.070466554157,366.270520707044,235.910259471571,300.995691455029,228.170276131113,291.120319173086,201.44,115.136948399445,2733.27983198536
"dc4","106dc4","deans",625,"spal",1.21,1.2,8,45.6036731187748,4,12.2901155232871,13.4056075112646,128,"spal",9.86,0.02,6.91,4.15,3.39,1.11,9.88,106,45.6036731187748,10.3,5.26,0.532388663967611,0.533468559837728,1153.41586330126,1.0446247464503,1.04251012145749,2258.58999847965,2166.49215388145,2021-08-12,1.1,51.9,47.18,51.9,1.1,0.804,31.38755733,-81.27455748,2258.58999847965,2166.49215388145,1153.41586330126,329.6,316.16,NA,196.641848372594,214.489720180234,205.001117230538,205.41694099774,223.607704236479,224.061269559474,104.689890935207,104.902243655157,114.191895561542,114.423522124547,84.16,102.057119305376,2296.61763707541
"dc4","122dc4","deans",NA,NA,NA,NA,NA,45.6036731187748,5,19.7950015387223,21.7186318370433,NA,"spal",5.42,0.13,5.21,3.17,3.87,2.77,5.55,122,45.6036731187748,9.08,5.94,1.07027027027027,1.09594095940959,1302.52665931739,1.67527675276753,1.63603603603604,1991.06768798012,1217.00723219049,2022-11-03,1.6,44,27.5,44,1.6,0.804,31.38755733,-81.27455748,1991.06768798012,1217.00723219049,1302.52665931739,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1411.55296487507
"dc4","116dc4","deans",625,"spal",1.29,1.1,11,45.6036731187748,3,24.1912327054316,23.638556735935,176,"spal",4.97,0,2.48,0.97,1.28,0.53,4.97,116,45.6036731187748,3.76,1.5,0.301810865191147,0.301810865191147,328.920873564998,0.756539235412475,0.756539235412475,824.49498973626,1089.82449441202,2022-05-07,1.2,37.6,31.33,37.6,1.2,0.804,31.38755733,-81.27455748,824.49498973626,1089.82449441202,328.920873564998,220.586666666667,291.573333333333,NA,387.059723286906,378.21690777496,292.82586711444,292.82586711444,286.135930228139,286.135930228139,116.818829965867,116.818829965867,114.149972165481,114.149972165481,24,145.534455955877,719.784126039755
"dc4","119dc4","deans",625,"spal",2.63,1.1,14,45.6036731187748,6,33.6175494593429,30.6622284039287,224,"spal",12.8,1.35,9.04,5.93,2.36,1.53,14.15,119,45.6036731187748,11.4,7.46,0.527208480565371,0.5828125,1635.83314452992,0.890625,0.80565371024735,2499.79863909398,3102.82024062981,2022-08-07,1.4,39.1,27.93,39.1,1.4,0.804,31.38755733,-81.27455748,2499.79863909398,3102.82024062981,1635.83314452992,425.6,528.266666666667,NA,537.880791349487,490.595654462858,433.345655221495,479.050079795637,395.250209249229,436.936754755983,283.575314732662,313.483648708373,258.646189561337,285.925279866635,119.36,210.311389417649,2190.623981972
"dc5","109dc5","deans",625,"spal",1.33,0.8,12,45.6036731187748,5,26.4814871201972,24.3057671487366,192,"spal",4.92,2.57,3.16,2.45,1.89,0.79,7.49,109,45.6036731187748,5.05,3.24,0.432576769025367,0.658536585365854,710.469086900395,1.02642276422764,0.674232309746328,1107.36694100216,1642.41156200122,2021-11-15,1.2,42.7,35.58,42.65,1.15,0.913,31.38760191,-81.27448117,1107.36694100216,1642.41156200122,710.469086900395,193.92,287.616,NA,423.703793923155,388.892274379786,285.674787625091,434.899219372344,262.203736397586,399.167883255674,183.284418199068,279.024449656712,168.225763550134,256.099790445225,51.84,180.709668108226,1172.78053153094
"dc5","104dc5","deans",625,"spal",3.2,0.9,6,45.6036731187748,1,17.9349184288283,15.6769845684583,96,"spal",4.02,5.1,4.5,3.94,13,10.04,9.12,104,45.6036731187748,17.5,13.98,1.53289473684211,3.47761194029851,3065.54254162578,4.35323383084577,1.91885964912281,3837.41019159164,1999.83891127518,2021-06-17,0.9,40.6,45.11,40.6,0.9,0.913,31.38760191,-81.27448117,3837.41019159164,1999.83891127518,3065.54254162578,1680,875.52,NA,286.958694861252,250.831753095333,550.633460534202,1249.19829852535,481.310929733369,1091.92927342496,439.877473043894,997.930983621967,384.498674152714,872.295499570336,223.68,116.505230113668,2369.92313576393
"dc5","113dc5","deans",625,"spal",1.1,1.1,22,45.6036731187748,4,21.7982735399724,28.086842304161,352,"spal",4.56,6.66,6.71,5.15,6.23,4.67,11.22,113,45.6036731187748,12.94,9.82,0.875222816399287,2.15350877192982,2153.33531893885,2.83771929824561,1.15329768270945,2837.49073595405,2460.32813426618,2022-02-28,1.2,42.4,35.33,42.4,1.2,0.913,31.38760191,-81.27448117,2837.49073595405,2460.32813426618,2153.33531893885,1138.72,987.36,NA,348.772376639559,449.389476866576,402.23837377147,989.718103885064,518.279842304233,1275.24119093278,305.253541764748,751.084372500103,393.315923603367,967.764180445126,157.12,147.879487695173,2246.27520097338
"dc5","125dc5","deans",625,"spal",1.4,1.2,21,45.6036731187748,4,17.3268804488844,22.6998234846004,336,"spal",9.05,0.54,2.55,1.76,8.13,5.5,9.59,125,45.6036731187748,10.68,7.26,0.7570385818561,0.802209944751381,1591.97702805459,1.18011049723757,1.11366006256517,2341.91661978278,2102.90078499222,2023-02-16,2.2,44.6,20.27,44.6,2.2,0.913,31.38760191,-81.27448117,2341.91661978278,2102.90078499222,1591.97702805459,897.12,805.56,NA,277.230087182151,363.197175753607,308.740076236222,327.162136033743,404.478189473256,428.61279967387,209.873872048218,222.396732921814,274.954274866651,291.360386295159,116.16,123.644618883239,1982.38856252965
"dc5","116dc5","deans",625,"spal",1.9,0.9,12,45.6036731187748,1,36.1107980676497,30.6559234903982,192,"spal",4.47,0,1.54,1.17,2.68,1.33,4.47,116,45.6036731187748,4.22,2.5,0.559284116331096,0.559284116331096,548.201455941663,0.944071588366891,0.944071588366891,925.364057629526,980.184203223693,2022-05-07,1,36.6,36.6,36.6,1,0.913,31.38760191,-81.27448117,925.364057629526,980.184203223693,548.201455941663,810.24,858.24,NA,577.772769082395,490.494775846371,545.458855822753,545.458855822753,463.062182118945,463.062182118945,323.139132596418,323.139132596418,274.325937274257,274.325937274257,40,211.464833484156,697.430663472278
"dc5","106dc5","deans",625,"spal",1.79,1.1,12,45.6036731187748,1,37.1406083327893,30.4013340583577,192,"spal",4.93,0.11,0.84,0.84,2.53,2.23,5.04,106,45.6036731187748,3.37,3.07,0.609126984126984,0.622718052738337,673.191387896362,0.683569979716024,0.668650793650794,738.975562609361,1105.17413517839,2021-08-12,1.5,52.6,35.07,52.6,1.5,0.913,31.38760191,-81.27448117,738.975562609361,1105.17413517839,673.191387896362,647.04,967.68,NA,594.249733324629,486.421344933723,397.345555814286,406.21127815497,325.24601833862,332.503028889786,361.973547878296,370.050036776189,296.29236685447,302.903352727491,49.12,312.575359728755,970.022741036358
"dc5","122dc5","deans",NA,NA,NA,NA,NA,45.6036731187748,4,27.165630700043,23.8377326391444,NA,"spal",4.44,0,3.36,2.27,5.43,3.58,4.44,122,45.6036731187748,8.79,5.85,1.31756756756757,1.31756756756757,1282.79140690349,1.97972972972973,1.97972972972973,1927.47631909089,973.605785752393,2022-11-03,1.2,45.5,37.92,45.5,1.2,0.913,31.38760191,-81.27448117,1927.47631909089,973.605785752393,1282.79140690349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1319.99235770369
"dc5","119dc5","deans",625,"spal",1.15,1.1,13,45.6036731187748,1,33.2759297647253,29.0324808340854,208,"spal",3.04,0,2.58,1.75,3.08,2.37,3.04,119,45.6036731187748,5.66,4.12,1.35526315789474,1.35526315789474,903.43599939186,1.86184210526316,1.86184210526316,1241.12809625192,666.612970425062,2022-08-07,1.4,37.7,26.93,37.7,1.4,0.913,31.38760191,-81.27448117,1241.12809625192,666.612970425062,903.43599939186,1177.28,632.32,NA,532.414876235604,464.519693345366,991.272434043921,991.272434043921,864.862323794334,864.862323794334,721.5622664772,721.5622664772,629.546426507536,629.546426507536,65.92,200.720408340823,719.218382137224
