Data set title: null. 2023. Spartina alterniflora marsh vegetation data along the Georgia coast used in the Belowground Ecosystem Resiliency Model version 2.0. Georgia Coastal Ecosystems LTER Data Catalog (data set PLT-GCET-2308; /data/PLT-GCET-2308),,,,,,,,,,
,,,,,,,,,,
Date,Site,Plot,Plant_species,Live_stem_count,Live_stem_g,Dead_stem_g,TotalBG_0_10_g,Rhizomes_0_10_g,TotalBG_10_30_g,Rhizomes_10_30_g
2022-05-07,deans,dc6,spal,2,4.07,2.01,3.63,3.06,5.62,4.53
2021-06-17,deans,dc6,spal,2,22.11,0,8.97,8.23,4.02,2.66
2022-08-07,deans,dc6,spal,1,6.41,0.99,1.4,1.12,3.22,2.4
2021-08-12,deans,dc6,spal,2,6.62,0.5,3.47,2.83,3.77,2.77
2021-06-17,deans,dc7,spal,4,11.97,12.37,0.25,0.02,2.82,1.74
2022-05-07,deans,dc7,spal,2,2.5,0,1.31,1.05,1.79,0.91
2022-08-07,deans,dc7,spal,1,6.83,0,2.09,1.95,6.08,5.16
2021-08-12,deans,dc7,spal,1,2.52,0,1.86,1.11,0.98,0.71
2022-02-28,deans,dc7,spal,3,5.67,8.16,5.9,5.16,4.45,3.64
2021-11-15,deans,dc7,spal,3,4.95,0,3.43,3.05,6.53,4.81
2023-02-16,deans,dc7,spal,2,1.43,4.42,3.14,1.92,3.1,2.35
2022-11-03,deans,dc7,spal,1,4.44,0,1.14,0.93,3.36,2.24
2022-11-03,deans,dc8,spal,3,4.25,0,5.58,4.85,5.66,4.54
2022-08-07,deans,dc8,spal,3,8.92,0,3.75,3.34,4,3.37
2021-11-15,deans,dc8,spal,3,12.71,3.2,3.58,3.37,5.57,4.24
2022-05-07,deans,dc8,spal,5,7.25,0,4.35,3.61,1.76,0.95
2021-06-17,deans,dc8,spal,3,16.68,14.33,7.38,7.09,12.26,9.42
2023-02-16,deans,dc8,spal,1,2.72,0,1.83,1.35,1.37,0.81
2021-08-12,deans,dc8,spal,1,7.51,0,2.16,2.04,4.4,3.48
2022-02-28,deans,dc8,spal,2,2.72,0,0.59,0.42,0.88,0.42
2022-05-07,deans,dc9,spal,1,3.15,6.66,2.99,2.41,1.25,0.69
2022-11-03,deans,dc9,spal,1,2.1,0,1.94,1.46,1.75,1.31
2023-02-16,deans,dc9,spal,4,3.38,2.58,3.57,2.85,2.79,1.84
2021-08-12,deans,dc9,spal,1,4.49,0.55,2.14,1.61,3.02,1.82
2021-11-15,deans,dc9,spal,2,5.36,0,3.63,3.18,3.37,2.29
2021-06-17,deans,dc9,spal,1,13.33,0,3.98,3.74,6.03,5.4
2022-02-28,deans,dc9,spal,1,2.9,0,1.81,1.36,3,2.38
2022-08-07,deans,dc9,spal,3,5.98,0,2.39,2.16,3.24,2.1
2022-05-10,dupli,du1,spal,1,3.89,0.49,4.49,3.03,4.07,2.91
2021-08-11,dupli,du1,spal,1,7.9,0,6.68,5.54,10.9,8.15
2021-11-12,dupli,du1,spal,2,7.6,1.06,4.31,3.39,9.63,7.26
2021-06-18,dupli,du1,spal,1,1.97,4.4,6.03,5.14,10.82,6.38
2022-11-03,dupli,du1,spal,1,5.62,0,3.84,2.78,3.95,2.58
2023-02-16,dupli,du1,spal,3,2.48,1.05,3.26,1.89,5.47,3.12
2022-08-08,dupli,du1,spal,1,3.83,0,2.51,1.73,1.68,1.02
2022-02-25,dupli,du1,spal,2,1.03,2.43,3.11,2.2,6.12,4.48
2021-08-11,dupli,du2,spal,1,4.8,0,2.76,1.63,3.99,2.8
2021-11-12,dupli,du2,spal,3,7.11,0,7.03,5.72,8.26,6.97
2023-02-16,dupli,du2,spal,4,5.72,0,4.86,2.68,3.24,2.19
2022-11-03,dupli,du2,spal,2,2.14,0,3.89,2.29,3.54,2.1
2021-06-18,dupli,du2,spal,1,5.65,0,4.11,2.37,7.26,5.19
2022-02-25,dupli,du2,spal,2,6.3,0.14,3.68,2.35,1.65,0.78
2022-05-10,dupli,du2,spal,2,4.52,0.81,5.28,3.54,2.65,1.84
2022-08-08,dupli,du2,spal,2,6.03,0,6.91,4.52,3.23,2.54
2022-02-25,dupli,du3,spal,1,1.48,0,1.17,0.75,3.18,2.07
2023-02-16,dupli,du3,spal,1,2.88,1.16,3.76,1.96,2.32,1.61
2021-11-12,dupli,du3,spal,4,11.58,0,5.14,3.51,4.42,3.35
2021-08-11,dupli,du3,spal,2,4.17,2.78,9.96,7.72,7.98,5.94
2021-06-18,dupli,du3,spal,3,10.92,12.38,8.27,7.61,11.9,7.88
2022-08-08,dupli,du3,spal,1,3.81,0,2.81,1.92,0.18,0
2022-05-10,dupli,du3,spal,1,2.52,0,3.87,1.8,1.54,0.99
2022-11-03,dupli,du3,spal,3,6.55,0,4.94,3.41,3.81,2.63
2022-02-25,dupli,du4,spal,2,0.85,2.49,7.37,5.56,5.68,4.34
2023-02-16,dupli,du4,spal,2,1.39,0,3.09,1.89,1.28,0.78
2021-06-18,dupli,du4,spal,3,1.82,3.96,10.19,8.23,4.62,3.37
2021-08-11,dupli,du4,spal,4,6.77,0,11.53,8.09,2.74,1.87
2022-08-08,dupli,du4,spal,3,5.59,0.45,6.6,5.4,1.1,0.65
2022-05-10,dupli,du4,spal,3,2.37,0,2.91,1.41,1.22,0.7
2021-11-12,dupli,du4,spal,4,3.73,0,6.04,4.43,3.15,2.3
2022-11-03,dupli,du4,spal,1,3.12,0,4.03,2.94,2.06,1.48
2022-05-10,dupli,du5,spal,1,1.15,0.21,6.55,4.58,3.97,2.62
2023-02-16,dupli,du5,spal,2,1.14,1.93,7.77,4.74,3.19,2.35
2021-08-11,dupli,du5,spal,1,3.91,0,6.38,3.66,3.09,2.07
2022-08-08,dupli,du5,spal,1,0.75,0.6,2.51,1.19,0.57,0.12
2021-06-18,dupli,du5,spal,1,1.69,1.67,7.38,5.32,14.02,8.72
2021-11-12,dupli,du5,spal,3,7.72,0.22,9.22,6.68,3.51,2.59
2022-02-25,dupli,du5,spal,2,0.86,0,3.89,2.38,4.24,3.05
2022-11-03,dupli,du5,spal,5,4.08,0,3.93,2.43,1.41,1.13
2022-11-03,dupli,du6,spal,5,2.34,0.04,3.43,1.81,2.31,1.47
2022-02-25,dupli,du6,spal,2,0.93,1.53,3.94,2.22,2.45,1.79
2023-02-16,dupli,du6,spal,2,1.52,0,4.49,1.89,2.78,1.57
2021-11-12,dupli,du6,spal,2,7.4,0.48,6.65,4.22,3.36,2.62
2022-08-08,dupli,du6,spal,1,2.21,0,2.43,1.35,0.9,0.6
2021-06-18,dupli,du6,spal,5,0.97,1.32,7.52,4.92,5.29,2.76
2021-08-11,dupli,du6,spal,2,3.51,0,1.96,1.47,11.68,8.18
2022-05-10,dupli,du6,spal,1,1.86,0,2.65,1.77,2.17,1.62
2022-02-25,dupli,du7,spal,3,1.1,0,3.54,2.01,2.16,1.13
2022-05-10,dupli,du7,spal,4,2.02,0.86,3.32,2.11,0.94,0.28
2022-08-08,dupli,du7,spal,4,3.46,0,2.85,1.82,0.71,0.29
2021-08-11,dupli,du7,spal,2,2.12,1.6,12.64,7.39,1.56,0.62
2023-02-16,dupli,du7,spal,3,2.01,0,5.2,2.94,0.92,0.39
2021-06-18,dupli,du7,spal,1,3.11,0.85,8.86,4.49,3.32,1.91
2022-11-03,dupli,du7,spal,3,1.78,0,3.45,1.89,2.11,1.2
2021-11-12,dupli,du7,spal,3,2.41,0,5.49,3.67,1.22,0.72
2022-02-25,dupli,du8,spal,2,0.45,0.62,3.75,1.99,1.82,1.3
2021-08-11,dupli,du8,spal,4,2.34,0.17,6.39,4.48,2.02,1.69
2021-11-12,dupli,du8,spal,3,3.26,0,6.64,4.49,1.71,1.08
2021-06-18,dupli,du8,spal,4,3.28,0.55,9.68,7.06,4.03,2.04
2023-02-16,dupli,du8,spal,7,4.13,1.26,7.59,3.86,1.75,1.01
2022-05-10,dupli,du8,spal,,2.03,0.64,5.03,3.37,2,1.89
2022-08-08,dupli,du8,spal,1,2.32,2.55,4.64,2.87,0.24,0.07
2022-11-03,dupli,du8,spal,1,0.57,1.3,3.38,1.88,1.29,0.72
2021-11-12,dupli,du9,spal,2,1.45,0.67,5.13,3.61,1.52,1.12
2022-11-03,dupli,du9,spal,2,2.43,0.06,5.95,3.71,2.99,2.32
2022-08-08,dupli,du9,spal,2,3.39,0.61,4.31,2.16,0.81,0.64
2022-05-10,dupli,du9,spal,3,3.75,0.15,3.66,1.65,1.5,0.8
2023-02-16,dupli,du9,spal,5,1.34,0,6.03,3.19,1.47,0.96
2021-08-11,dupli,du9,spal,3,6.8,0.87,11.04,7.11,5.44,3.77
2021-06-18,dupli,du9,spal,3,2.27,0.58,5.94,3.19,5.52,2.27
2022-02-25,dupli,du9,spal,2,1.37,0,3.27,1.4,1.67,1.09
2021-11-11,fluxb,fb1,spal,3,2.51,0,3.11,2.47,1.01,0.95
2022-11-02,fluxb,fb1,spal,2,2.36,0.71,7.56,7.01,5.12,4.74
2022-02-24,fluxb,fb1,spal,3,1.38,0,1.48,1.03,2.87,2.65
2021-06-21,fluxb,fb1,spal,3,3.31,6.14,2.66,2.19,12.18,10.01
2016-08-18,fluxb,fb1,spal,4,11.32,0,8.25,4.62,3.32,2.73
2022-05-09,fluxb,fb1,spal,2,6.88,0,2.57,1.96,0.14,0.14
2023-02-15,fluxb,fb1,spal,1,0.84,0,3.36,2.52,0.79,0.78
2016-10-27,fluxb,fb1,spal,3,8.25,2.1,7.66,3.53,2.08,1.78
2016-05-04,fluxb,fb1,spal,2,4.31,1.96,2.89,2.3,4.84,3.86
2022-08-05,fluxb,fb1,spal,3,4.24,0.82,4.31,3.55,2.06,1.97
2021-08-13,fluxb,fb1,spal,1,10.71,0,3.12,2.33,0.56,0.5
2016-07-13,fluxb,fb1,spal,5,23.08,0,12.29,8.32,6.21,4.99
2016-09-15,fluxb,fb1,spal,8,15.46,0,8.9,10.56,7.19,5.24
2021-11-11,fluxb,fb2,spal,3,2.44,0,1.69,1.4,0.61,0.59
2016-05-04,fluxb,fb2,spal,1,3.05,0,6.59,3.54,3.67,2.32
2022-08-05,fluxb,fb2,spal,1,1.4,1.96,1.8,1.62,1.85,1.8
2022-02-24,fluxb,fb2,spal,3,1.29,1.72,2.3,1.62,2.32,2.19
2022-05-09,fluxb,fb2,spal,1,2.02,0,1.44,1.12,1.6,1.5
2016-10-27,fluxb,fb2,spal,3,3.55,0,6.94,3.33,3.23,1.98
2016-09-15,fluxb,fb2,spal,3,7.36,0,7.12,5.64,3.02,2.48
2016-08-18,fluxb,fb2,spal,6,5.46,0.31,8.35,5.9,4.06,3.33
2022-11-02,fluxb,fb2,spal,1,0.37,0,2.04,1.73,1.21,1.6
2021-08-13,fluxb,fb2,spal,2,2.36,0,1.26,0.93,1.72,1.69
2021-06-21,fluxb,fb2,spal,3,1.42,0.21,5.99,4.7,1.12,0.97
2016-07-13,fluxb,fb2,spal,4,8.04,0,6.46,3.87,1.36,0.75
2023-02-15,fluxb,fb2,spal,4,1.12,0.79,1.84,1.46,0.57,0.53
2016-08-18,fluxb,fb3,spal,7,3.21,0.67,11.27,9.15,1.26,0.89
2022-08-05,fluxb,fb3,spal,5,4.36,0,2.49,1.99,1.36,1.31
2022-11-02,fluxb,fb3,spal,3,1.58,0,1.09,0.85,0.64,0.59
2016-05-04,fluxb,fb3,spal,1,2.67,0,6.56,5.26,1.67,1.56
2016-10-27,fluxb,fb3,spal,1,1.36,0,6.04,2.68,4.16,3.4
2022-02-24,fluxb,fb3,spal,1,1.02,0,1.39,0.98,1.09,0.89
2021-11-11,fluxb,fb3,spal,2,6.85,0,1.96,1.85,2.87,2.49
2016-09-15,fluxb,fb3,spal,4,4.99,1.34,7.88,4.05,1.33,1.07
2016-07-13,fluxb,fb3,spal,2,0.25,1.48,5.56,3.3,2.4,1.91
2023-02-15,fluxb,fb3,spal,3,2.09,0.19,1.85,1.29,0.37,0.36
2021-08-13,fluxb,fb3,spal,3,5.91,0,3.06,2.72,0.45,0.3
2021-06-21,fluxb,fb3,spal,2,3.16,0,1.84,1.42,4.39,3.87
2022-05-09,fluxb,fb3,spal,3,1.85,0,2.33,1.98,0.29,0.26
2016-10-27,fluxb,fb4,spal,4,2.67,4.18,16.77,7.99,1,0.16
2016-09-15,fluxb,fb4,spal,3,4.47,0,10.33,5.61,1.12,0.79
2022-02-24,fluxb,fb4,spal,1,0.65,0.31,2.04,1.69,0.55,0.52
2022-08-05,fluxb,fb4,spal,3,3.49,0.29,1.95,1.58,0.59,0.53
2021-11-11,fluxb,fb4,spal,3,3.29,0,2.75,2.4,2,1.8
2016-08-18,fluxb,fb4,spal,3,4.38,0,5.18,3.04,0.38,0.32
2016-05-04,fluxb,fb4,spal,2,1.41,0,2.32,0.88,4.79,4.01
2023-02-15,fluxb,fb4,spal,4,2.26,0,2.64,2,0.67,0.54
2021-08-13,fluxb,fb4,spal,5,8.71,0,4.81,4,0.86,0.62
2021-06-21,fluxb,fb4,spal,3,16.08,0.2,6.03,5.48,4.73,4.19
2016-07-13,fluxb,fb4,spal,3,0.37,0,3.64,1.47,2.54,1.41
2022-11-02,fluxb,fb4,spal,2,0.78,0.79,1.82,1.41,1.08,1.05
2022-05-09,fluxb,fb4,spal,1,1.64,0.03,0.66,0.52,1.2,1.12
2016-07-13,fluxb,fb5,spal,1,3.76,3.4,13.35,9.85,8.33,6.52
2016-10-27,fluxb,fb5,spal,2,1.68,0,4.81,3.22,1.49,0.4
2023-02-15,fluxb,fb5,spal,5,0.9,0,0.92,0.58,0.13,0.12
2022-08-05,fluxb,fb5,spal,2,3.16,0,1.09,0.81,0.37,0.31
2022-02-24,fluxb,fb5,spal,2,0.58,0.19,3.19,2.41,1.26,1.17
2022-05-09,fluxb,fb5,spal,2,2.03,0,2.06,1.77,0.63,0.6
2016-09-15,fluxb,fb5,spal,5,9.65,0,13.28,8.48,4.65,3.5
2022-11-02,fluxb,fb5,spal,3,0.86,0.81,3.26,2.64,0.74,0.63
2016-08-18,fluxb,fb5,spal,2,2.48,0,3.6,2.5,0.92,0.76
2021-06-21,fluxb,fb5,spal,2,6.74,0.16,4.55,3.89,2.27,2.19
2021-08-13,fluxb,fb5,spal,2,2.15,3.48,4.43,3.8,0.77,0.64
2016-05-04,fluxb,fb5,spal,1,2.53,0,3.88,2.35,2.16,1.73
2021-11-11,fluxb,fb5,spal,3,0.89,0.8,2,1.54,0.69,0.67
2016-10-27,fluxb,fb6,spal,3,1.05,0,8.12,2.81,0.36,0.14
2021-08-13,fluxb,fb6,spal,1,0.47,0.46,3.7,2.84,1.19,0.93
2022-02-24,fluxb,fb6,spal,2,0.6,0,2.87,2.32,1.09,0.96
2016-09-15,fluxb,fb6,spal,3,1.35,0,6.38,4.22,1.87,1.08
2016-07-13,fluxb,fb6,spal,1,2.61,0.35,4.46,3.76,2.13,0.58
2023-02-15,fluxb,fb6,spal,3,0.38,1.1,1.61,1.19,0.24,0.23
2022-05-09,fluxb,fb6,spal,2,1.49,0.02,1.14,0.86,0.25,0.22
2016-08-18,fluxb,fb6,spal,1,1.94,0,2.79,1.98,0.59,0.47
2022-11-02,fluxb,fb6,spal,3,1.34,0,3.04,2.16,0.82,0.74
2022-08-05,fluxb,fb6,spal,3,5.22,0,1.96,1.53,0.31,0.29
2021-06-21,fluxb,fb6,spal,1,2.64,0.94,5.93,4.74,2.22,1.88
2021-11-11,fluxb,fb6,spal,3,1.08,0,1.67,1.16,0.91,0.87
2016-05-04,fluxb,fb6,spal,3,1.68,0.12,3.83,2.67,1.13,0.48
2016-08-18,fluxb,fb7,spal,5,12.47,0,7.56,6.08,5.76,4.07
2022-02-24,fluxb,fb7,spal,2,2.13,0,1.42,1.18,3.98,3.05
2016-09-15,fluxb,fb7,spal,3,6.6,2.59,6.38,4.22,6.61,5.11
2021-08-13,fluxb,fb7,spal,2,10.06,0.19,6.02,4.7,3.13,2.35
2022-08-05,fluxb,fb7,spal,3,2.5,0,4.05,3,2.54,2.33
2022-11-02,fluxb,fb7,spal,3,1.2,0.52,3.4,2.45,1.13,1.02
2016-07-13,fluxb,fb7,spal,3,5.9,0,10.42,4.47,9.67,3.63
2016-10-27,fluxb,fb7,spal,1,1.21,2.07,7.38,3.67,6.4,3.31
2022-05-09,fluxb,fb7,spal,3,4.76,0,2.79,2.07,1.17,1.17
2021-06-21,fluxb,fb7,spal,1,2.72,8.91,7.25,5.5,12.27,8.44
2023-02-15,fluxb,fb7,spal,4,0.8,4.55,3.99,2.97,1.2,1.13
2021-11-11,fluxb,fb7,spal,6,12.58,0,6.49,5.5,1.71,1.63
2016-05-04,fluxb,fb7,spal,2,5.52,0,3.53,2.86,5.51,2.87
2016-08-18,fluxb,fb8,spal,3,2.96,0,5.99,4.16,0.7,0.21
2023-02-15,fluxb,fb8,spal,1,0.72,0.1,3.16,2.26,1.17,1.1
2016-09-15,fluxb,fb8,spal,3,1.46,0.27,7.34,3.61,6.51,0.36
2016-10-27,fluxb,fb8,spal,3,2.01,3.64,7.04,3.01,0.96,0.52
2022-11-02,fluxb,fb8,spal,3,5.38,0,3.18,2.25,1.03,0.93
2022-08-05,fluxb,fb8,spal,1,3.55,0,3.42,2.61,2.16,2.05
2021-06-21,fluxb,fb8,spal,2,4.63,0.32,6.56,4.85,3.41,3.22
2021-08-13,fluxb,fb8,spal,2,2.37,0.08,3.56,2.11,0.58,0.37
2016-07-13,fluxb,fb8,spal,2,4.8,2.03,6.17,3.49,1.86,0.96
2022-05-09,fluxb,fb8,spal,2,1.12,2.02,3.71,2.53,0.67,0.56
2022-02-24,fluxb,fb8,spal,2,0.65,0.19,3.23,2.08,1.12,0.98
2016-05-04,fluxb,fb8,spal,2,3.66,0,10.18,6.75,2.46,1.38
2021-11-11,fluxb,fb8,spal,3,4.5,0,5.68,4.41,3.08,2.97
2022-08-05,fluxb,fb9,spal,3,1.8,0,2.46,1.84,2.04,2.03
2021-06-21,fluxb,fb9,spal,3,4.97,0,5.7,4.91,2.09,1.79
2016-09-15,fluxb,fb9,spal,6,6.75,0,15.98,8.48,0.37,0.22
2023-02-15,fluxb,fb9,spal,3,1.18,2.25,5.98,4.86,1.37,1.3
2021-08-13,fluxb,fb9,spal,5,3.75,0.28,4.93,3.65,1.66,1.55
2016-08-18,fluxb,fb9,spal,6,10.14,0,12.17,9.5,3.99,3.37
2022-11-02,fluxb,fb9,spal,3,0.8,0,1.39,1.02,1.13,1.06
2022-02-24,fluxb,fb9,spal,2,0.94,0.6,3.09,2.11,1.17,0.91
2016-05-04,fluxb,fb9,spal,2,2.07,0.12,6.2,4.26,1.5,1.21
2021-11-11,fluxb,fb9,spal,3,1.97,0.11,2.22,1.83,1.41,1.33
2016-07-13,fluxb,fb9,spal,1,1.76,0,5.45,3.74,4.49,2.85
2016-10-27,fluxb,fb9,spal,2,0.95,0,5.27,3.22,11.25,4.79
2022-05-09,fluxb,fb9,spal,2,2,0,1.87,1.31,1.34,1.29
2021-08-11,folly,fr1,spal,4,2.08,0,4.98,3.74,1.85,1.83
2022-08-08,folly,fr1,spal,4,2.37,0,2.25,1.54,0.81,0.78
2021-06-18,folly,fr1,spal,2,1.4,0.39,5.09,3.43,2.32,2.25
2023-02-15,folly,fr1,spal,5,0.45,0.71,6.42,4.95,0.85,0.85
2022-02-25,folly,fr1,spal,1,0.35,0,2.52,1.66,0.18,0.13
2021-11-12,folly,fr1,spal,2,1.65,0.66,3.71,2.87,1.15,1.13
2022-05-10,folly,fr1,spal,4,1.43,0,2.67,2.36,0.28,0.28
2022-11-03,folly,fr1,spal,4,1.12,0.06,3.42,2.39,1.74,1.7
2022-08-08,folly,fr2,spal,2,1.51,0.2,4.28,3.5,0.49,0.46
2022-11-03,folly,fr2,spal,2,0.66,1.88,3.98,3.29,1.91,1.85
2021-06-18,folly,fr2,spal,4,5.33,0,6.04,4.15,2.43,2.21
2022-05-10,folly,fr2,spal,2,2.68,0,2.6,1.8,1.32,1.3
2022-02-25,folly,fr2,spal,2,0.43,0.82,2.94,2.05,1.1,1.08
2021-11-12,folly,fr2,spal,4,2.87,0.31,4.03,3.11,0.56,0.54
2021-08-11,folly,fr2,spal,3,0.8,0.07,4.15,3.23,2.16,2.11
2023-02-15,folly,fr2,spal,2,0.19,0.44,3.96,2.81,0.48,0.47
2021-06-18,folly,fr3,spal,2,2.06,0,3.46,2.92,2.01,1.93
2022-11-03,folly,fr3,spal,3,0.69,0.19,4.37,3.25,0.91,0.83
2021-08-11,folly,fr3,spal,2,1.46,0.63,4.42,3.48,2.17,2.14
2022-08-08,folly,fr3,spal,7,2.92,0,4.13,3.44,1.41,1.39
2022-05-10,folly,fr3,spal,7,3.66,0.17,4.43,3.34,0.51,0.47
2022-02-25,folly,fr3,spal,1,0.71,0,2.95,2.19,0.5,0.48
2021-11-12,folly,fr3,spal,1,2.67,0.14,3.98,2.98,1.44,1.26
2023-02-15,folly,fr3,spal,3,0.76,0.77,4.57,3.32,0.33,0.32
2021-06-18,folly,fr4,spal,2,4.29,1.52,6.64,4.91,1.17,0.97
2021-11-12,folly,fr4,spal,7,2.4,0,4.79,3.46,1.76,1.66
2022-05-10,folly,fr4,spal,2,0.7,0.05,3.32,2.42,0.82,0.75
2022-08-08,folly,fr4,spal,2,1.55,0.09,4.74,3.89,0.46,0.41
2022-11-03,folly,fr4,spal,7,1.6,1.42,4.82,3.47,0.74,0.64
2022-02-25,folly,fr4,spal,6,1.06,0.27,5.14,3.25,0.18,0.08
2023-02-15,folly,fr4,spal,4,0.72,0.9,7.71,5.67,0.97,0.93
2021-08-11,folly,fr4,spal,4,4.25,0,6.24,4.93,1.07,0.99
2023-02-15,folly,fr5,spal,5,0.63,0.13,4.36,2.84,0.63,0.61
2021-11-12,folly,fr5,spal,6,4.37,0.78,7.17,5.8,2.38,2.27
2021-06-18,folly,fr5,spal,4,3.54,1.72,6.72,5.02,2.7,2.24
2021-08-11,folly,fr5,spal,4,3.28,0.93,7.2,5.38,2.28,2.1
2022-11-03,folly,fr5,spal,3,1.39,0,5.43,3.78,1.83,1.69
2022-08-08,folly,fr5,spal,3,1.58,0.81,5.43,4.3,1.37,1.35
2022-05-10,folly,fr5,spal,3,1.13,0.25,6.17,5.16,1.39,1.33
2022-02-25,folly,fr5,spal,2,0.85,0.36,4.64,3.29,3.14,2.98
2021-06-18,folly,fr6,spal,3,3.63,0.94,10.41,6.86,3.23,2.88
2021-11-12,folly,fr6,spal,4,0.48,2.57,5.49,3.95,1.36,1.24
2022-05-10,folly,fr6,spal,2,1.3,0.51,4.83,3.36,0.51,0.4
2022-08-08,folly,fr6,spal,2,2.35,0.42,4.82,3.41,1.41,1.35
2022-02-25,folly,fr6,spal,4,1.54,1.02,5.91,3.8,3.42,2.75
2022-11-03,folly,fr6,spal,7,5.63,0,7.23,5.06,2.27,2.09
2021-08-11,folly,fr6,spal,3,2.79,0,8.26,5.89,2.71,2.54
2023-02-15,folly,fr6,spal,3,0.82,0,6.16,4.42,1.83,1.64
2022-11-03,folly,fr7,spal,2,2.11,0.42,4.1,2.87,0.29,0.19
2022-02-25,folly,fr7,spal,3,0.69,0.28,4.35,3.11,0.69,0.63
2021-06-18,folly,fr7,spal,1,1.34,0.76,2.72,1.64,3.32,2.42
2021-11-12,folly,fr7,spal,3,2.13,0.08,4.28,2.93,0.24,0.2
2021-08-11,folly,fr7,spal,6,1.85,0,5.71,3.96,0.93,0.89
2022-05-10,folly,fr7,spal,1,2.07,0,2.03,0.88,1.08,0.82
2022-08-08,folly,fr7,spal,1,1.71,0,4.49,2.94,0.89,0.73
