Data set title: null. 2023. Spartina alterniflora marsh vegetation data along the Georgia coast used in the Belowground Ecosystem Resiliency Model version 2.0. Georgia Coastal Ecosystems LTER Data Catalog (data set PLT-GCET-2308; /data/PLT-GCET-2308),,,,,,
,,,,,,
Date,Site,Plot,Species,Vegplot_area,LAI,SPAD_chlorophyll_reading
2013-08-12,fluxa,s2,spal,625,,
2013-08-12,fluxa,s3,spal,625,,
2013-08-12,fluxa,s4,spal,625,,
2013-08-12,fluxa,s5,spal,625,,
2013-08-12,fluxa,s6,spal,625,,
2013-08-12,fluxa,t1,spal,3025,,
2013-08-12,fluxa,t2,spal,3025,,
2013-08-12,fluxa,t3,spal,3025,,
2013-08-12,fluxa,t4,spal,3025,,
2013-08-12,fluxa,t5,spal,3025,,
2013-08-12,fluxa,t6,spal,3025,,
2013-09-12,fluxa,m1,spal,625,,
2013-09-12,fluxa,m2,spal,625,,
2013-09-12,fluxa,m3,spal,625,,
2013-09-12,fluxa,m4,spal,625,,
2013-09-12,fluxa,m5,spal,625,,
2013-09-12,fluxa,m6,spal,625,,
2013-09-12,fluxa,s1,spal,625,,
2013-09-12,fluxa,s2,spal,625,,
2013-09-12,fluxa,s3,spal,625,,
2013-09-12,fluxa,s4,spal,625,,
2013-09-12,fluxa,s5,spal,625,,
2013-09-12,fluxa,s6,spal,625,,
2013-09-12,fluxa,t1,spal,3025,,
2013-09-12,fluxa,t2,spal,3025,,
2013-09-12,fluxa,t3,spal,3025,,
2013-09-12,fluxa,t4,spal,3025,,
2013-09-12,fluxa,t5,spal,3025,,
2013-09-12,fluxa,t6,spal,3025,,
2013-10-02,fluxa,m1,spal,625,,
2013-10-02,fluxa,m2,spal,625,,
2013-10-02,fluxa,m3,spal,625,,
2013-10-02,fluxa,m4,spal,625,,
2013-10-02,fluxa,m5,spal,625,,
2013-10-02,fluxa,m6,spal,625,,
2013-10-02,fluxa,s1,spal,625,,
2013-10-02,fluxa,s2,spal,625,,
2013-10-02,fluxa,s3,spal,625,,
2013-10-02,fluxa,s4,spal,625,,
2013-10-02,fluxa,s5,spal,625,,
2013-10-02,fluxa,s6,spal,625,,
2013-10-02,fluxa,t1,spal,3025,,
2013-10-02,fluxa,t2,spal,3025,,
2013-10-02,fluxa,t3,spal,3025,,
2013-10-02,fluxa,t4,spal,3025,,
2013-10-02,fluxa,t5,spal,3025,,
2013-10-02,fluxa,t6,spal,3025,,
2013-11-19,fluxa,m1,spal,625,,
2013-11-19,fluxa,m2,spal,625,,
2013-11-19,fluxa,m3,spal,625,,
2013-11-19,fluxa,m4,spal,625,,
2013-11-19,fluxa,m5,spal,625,,
2013-11-19,fluxa,m6,spal,625,,
2013-11-19,fluxa,s1,spal,625,,
2013-11-19,fluxa,s2,spal,625,,
2013-11-19,fluxa,s3,spal,625,,
2013-11-19,fluxa,s4,spal,625,,
2013-11-19,fluxa,s5,spal,625,,
2013-11-19,fluxa,s6,spal,625,,
2013-11-19,fluxa,t1,spal,3025,,
2013-11-19,fluxa,t2,spal,3025,,
2013-11-19,fluxa,t3,spal,3025,,
2013-11-19,fluxa,t4,spal,3025,,
2013-11-19,fluxa,t5,spal,3025,,
2013-11-19,fluxa,t6,spal,3025,,
2013-12-12,fluxa,m1,spal,625,,
2013-12-12,fluxa,m2,spal,625,,
2013-12-12,fluxa,m3,spal,625,,
2013-12-12,fluxa,m4,spal,625,,
2013-12-12,fluxa,m5,spal,625,,
2013-12-12,fluxa,m6,spal,625,,
2013-12-12,fluxa,s1,spal,625,,
2013-12-12,fluxa,s2,spal,625,,
2013-12-12,fluxa,s3,spal,625,,
2013-12-12,fluxa,s4,spal,625,,
2013-12-12,fluxa,s5,spal,625,,
2013-12-12,fluxa,s6,spal,625,,
2013-12-12,fluxa,t1,spal,3025,,
2013-12-12,fluxa,t2,spal,3025,,
2013-12-12,fluxa,t3,spal,3025,,
2013-12-12,fluxa,t4,spal,3025,,
2013-12-12,fluxa,t5,spal,3025,,
2013-12-12,fluxa,t6,spal,3025,,
2014-01-27,fluxa,m1,spal,625,,
2014-01-27,fluxa,m2,spal,625,,
2014-01-27,fluxa,m3,spal,625,,
2014-01-27,fluxa,m4,spal,625,,
2014-01-27,fluxa,m5,spal,625,,
2014-01-27,fluxa,m6,spal,625,,
2014-01-27,fluxa,s1,spal,625,,
2014-01-27,fluxa,s2,spal,625,,
2014-01-27,fluxa,s3,spal,625,,
2014-01-27,fluxa,s4,spal,625,,
2014-01-27,fluxa,s5,spal,625,,
2014-01-27,fluxa,s6,spal,625,,
2014-01-27,fluxa,t1,spal,3025,,
2014-01-27,fluxa,t2,spal,3025,,
2014-01-27,fluxa,t3,spal,3025,,
2014-01-27,fluxa,t4,spal,3025,,
2014-01-27,fluxa,t5,spal,3025,,
2014-01-27,fluxa,t6,spal,3025,,
2014-02-27,fluxa,m1,spal,625,,
2014-02-27,fluxa,m2,spal,625,,
2014-02-27,fluxa,m3,spal,625,,
2014-02-27,fluxa,m4,spal,625,,
2014-02-27,fluxa,m5,spal,625,,
2014-02-27,fluxa,m6,spal,625,,
2014-02-27,fluxa,s1,spal,625,,
2014-02-27,fluxa,s2,spal,625,,
2014-02-27,fluxa,s3,spal,625,,
2014-02-27,fluxa,s4,spal,625,,
2014-02-27,fluxa,s5,spal,625,,
2014-02-27,fluxa,s6,spal,625,,
2014-02-27,fluxa,t1,spal,3025,,
2014-02-27,fluxa,t2,spal,3025,,
2014-02-27,fluxa,t3,spal,3025,,
2014-02-27,fluxa,t4,spal,3025,,
2014-02-27,fluxa,t5,spal,3025,,
2014-02-27,fluxa,t6,spal,3025,,
2014-03-26,fluxa,m1,spal,625,,
2014-03-26,fluxa,m2,spal,625,,
2014-03-26,fluxa,m3,spal,625,,
2014-03-26,fluxa,m4,spal,625,,
2014-03-26,fluxa,m5,spal,625,,
2014-03-26,fluxa,m6,spal,625,,
2014-03-26,fluxa,s1,spal,625,,
2014-03-26,fluxa,s2,spal,625,,
2014-03-26,fluxa,s3,spal,625,,
2014-03-26,fluxa,s4,spal,625,,
2014-03-26,fluxa,s5,spal,625,,
2014-03-26,fluxa,s6,spal,625,,
2014-03-26,fluxa,t1,spal,3025,,
2014-03-26,fluxa,t2,spal,3025,,
2014-03-26,fluxa,t3,spal,3025,,
2014-03-26,fluxa,t4,spal,3025,,
2014-03-26,fluxa,t5,spal,3025,,
2014-03-26,fluxa,t6,spal,3025,,
2014-04-24,fluxa,m1,spal,625,,
2014-04-24,fluxa,m2,spal,625,,
2014-04-24,fluxa,m3,spal,625,,
2014-04-24,fluxa,m4,spal,625,,
2014-04-24,fluxa,m5,spal,625,,
2014-04-24,fluxa,m6,spal,625,,
2014-04-24,fluxa,s1,spal,625,,
2014-04-24,fluxa,s2,spal,625,,
2014-04-24,fluxa,s3,spal,625,,
2014-04-24,fluxa,s4,spal,625,,
2014-04-24,fluxa,s5,spal,625,,
2014-04-24,fluxa,s6,spal,625,,
2014-04-24,fluxa,t1,spal,3025,,
2014-04-24,fluxa,t2,spal,3025,,
2014-04-24,fluxa,t3,spal,3025,,
2014-04-24,fluxa,t4,spal,3025,,
2014-04-24,fluxa,t5,spal,3025,,
2014-04-24,fluxa,t6,spal,3025,,
2014-05-27,fluxa,m1,spal,625,,
2014-05-27,fluxa,m2,spal,625,,
2014-05-27,fluxa,m3,spal,625,,
2014-05-27,fluxa,m4,spal,625,,
2014-05-27,fluxa,m5,spal,625,,
2014-05-27,fluxa,m6,spal,625,,
2014-05-27,fluxa,s1,spal,625,,
2014-05-27,fluxa,s2,spal,625,,
2014-05-27,fluxa,s3,spal,625,,
2014-05-27,fluxa,s4,spal,625,,
2014-05-27,fluxa,s5,spal,625,,
2014-05-27,fluxa,s6,spal,625,,
2014-05-27,fluxa,t1,spal,3025,,
2014-05-27,fluxa,t2,spal,3025,,
2014-05-27,fluxa,t3,spal,3025,,
2014-05-27,fluxa,t4,spal,3025,,
2014-05-27,fluxa,t5,spal,3025,,
2014-05-27,fluxa,t6,spal,3025,,
2014-06-23,fluxa,m1,spal,625,,
2014-06-23,fluxa,m2,spal,625,,
2014-06-23,fluxa,m3,spal,625,,
2014-06-23,fluxa,m4,spal,625,,
2014-06-23,fluxa,m5,spal,625,,
2014-06-23,fluxa,m6,spal,625,,
2014-06-23,fluxa,s1,spal,625,,
2014-06-23,fluxa,s2,spal,625,,
2014-06-23,fluxa,s3,spal,625,,
2014-06-23,fluxa,s4,spal,625,,
2014-06-23,fluxa,s5,spal,625,,
2014-06-23,fluxa,s6,spal,625,,
2014-06-23,fluxa,t1,spal,3025,,
2014-06-23,fluxa,t2,spal,3025,,
2014-06-23,fluxa,t3,spal,3025,,
2014-06-23,fluxa,t4,spal,3025,,
2014-06-23,fluxa,t5,spal,3025,,
2014-06-23,fluxa,t6,spal,3025,,
2014-07-21,fluxa,m1,spal,625,,
2014-07-21,fluxa,m2,spal,625,,
2014-07-21,fluxa,m3,spal,625,,
2014-07-21,fluxa,m4,spal,625,,
2014-07-21,fluxa,m5,spal,625,,
2014-07-21,fluxa,m6,spal,625,,
2014-07-21,fluxa,s1,spal,625,,
2014-07-21,fluxa,s2,spal,625,,
2014-07-21,fluxa,s3,spal,625,,
2014-07-21,fluxa,s4,spal,625,,
2014-07-21,fluxa,s5,spal,625,,
2014-07-21,fluxa,s6,spal,625,,
2014-07-21,fluxa,t1,spal,3025,,
2014-07-21,fluxa,t2,spal,3025,,
2014-07-21,fluxa,t3,spal,3025,,
2014-07-21,fluxa,t4,spal,3025,,
2014-07-21,fluxa,t5,spal,3025,,
2014-07-21,fluxa,t6,spal,3025,,
2014-08-19,fluxa,m1,spal,625,,
2014-08-19,fluxa,m2,spal,625,,
2014-08-19,fluxa,m3,spal,625,,
2014-08-19,fluxa,m4,spal,625,,
2014-08-19,fluxa,m5,spal,625,,
2014-08-19,fluxa,m6,spal,625,,
2014-08-19,fluxa,s1,spal,625,,
2014-08-19,fluxa,s2,spal,625,,
2014-08-19,fluxa,s3,spal,625,,
2014-08-19,fluxa,s4,spal,625,,
2014-08-19,fluxa,s5,spal,625,,
2014-08-19,fluxa,s6,spal,625,,
2014-08-19,fluxa,t1,spal,3025,,
2014-08-19,fluxa,t2,spal,3025,,
2014-08-19,fluxa,t3,spal,3025,,
2014-08-19,fluxa,t4,spal,3025,,
2014-08-19,fluxa,t5,spal,3025,,
2014-08-19,fluxa,t6,spal,3025,,
2014-09-17,fluxa,m1,spal,625,,
2014-09-17,fluxa,m2,spal,625,,
2014-09-17,fluxa,m3,spal,625,,
2014-09-17,fluxa,m4,spal,625,,
2014-09-17,fluxa,m5,spal,625,,
2014-09-17,fluxa,m6,spal,625,,
2014-09-17,fluxa,s1,spal,625,,
2014-09-17,fluxa,s2,spal,625,,
2014-09-17,fluxa,s3,spal,625,,
2014-09-17,fluxa,s4,spal,625,,
2014-09-17,fluxa,s5,spal,625,,
2014-09-17,fluxa,s6,spal,625,,
2014-09-17,fluxa,t1,spal,3025,,
2014-09-17,fluxa,t2,spal,3025,,
2014-09-17,fluxa,t3,spal,3025,,
2014-09-17,fluxa,t4,spal,3025,,
2014-09-17,fluxa,t5,spal,3025,,
2014-09-17,fluxa,t6,spal,3025,,
2014-10-03,fluxa,m1,spal,625,,
2014-10-03,fluxa,m10,spal,,,
2014-10-03,fluxa,m11,spal,,,
2014-10-03,fluxa,m12,spal,,,
2014-10-03,fluxa,m2,spal,625,,
2014-10-03,fluxa,m3,spal,625,,
2014-10-03,fluxa,m4,spal,625,,
2014-10-03,fluxa,m5,spal,625,,
2014-10-03,fluxa,m6,spal,625,,
2014-10-03,fluxa,m7,spal,,,
2014-10-03,fluxa,m8,spal,,,
2014-10-03,fluxa,m9,spal,,,
2014-10-03,fluxa,s1,spal,625,,
2014-10-03,fluxa,s10,spal,,,
2014-10-03,fluxa,s11,spal,,,
2014-10-03,fluxa,s12,spal,,,
2014-10-03,fluxa,s2,spal,625,,
2014-10-03,fluxa,s3,spal,625,,
2014-10-03,fluxa,s4,spal,625,,
2014-10-03,fluxa,s5,spal,625,,
2014-10-03,fluxa,s6,spal,625,,
2014-10-03,fluxa,s7,spal,,,
2014-10-03,fluxa,s8,spal,,,
2014-10-03,fluxa,s9,spal,,,
2014-10-03,fluxa,t1,spal,3025,,
2014-10-03,fluxa,t10,spal,,,
2014-10-03,fluxa,t11,spal,,,
2014-10-03,fluxa,t12,spal,,,
2014-10-03,fluxa,t2,spal,3025,,
2014-10-03,fluxa,t3,spal,3025,,
2014-10-03,fluxa,t4,spal,3025,,
2014-10-03,fluxa,t5,spal,3025,,
2014-10-03,fluxa,t6,spal,3025,,
2014-10-03,fluxa,t7,spal,,,
2014-10-03,fluxa,t8,spal,,,
2014-10-03,fluxa,t9,spal,,,
2014-11-18,fluxa,m1,spal,625,,
2014-11-18,fluxa,m2,spal,625,,
2014-11-18,fluxa,m3,spal,625,,
2014-11-18,fluxa,m4,spal,625,,
2014-11-18,fluxa,m5,spal,625,,
2014-11-18,fluxa,m6,spal,625,,
2014-11-18,fluxa,s1,spal,625,,
2014-11-18,fluxa,s2,spal,625,,
2014-11-18,fluxa,s3,spal,625,,
2014-11-18,fluxa,s4,spal,625,,
2014-11-18,fluxa,s5,spal,625,,
2014-11-18,fluxa,s6,spal,625,,
2014-11-18,fluxa,t1,spal,3025,,
2014-11-18,fluxa,t2,spal,3025,,
2014-11-18,fluxa,t3,spal,3025,,
2014-11-18,fluxa,t4,spal,3025,,
2014-11-18,fluxa,t5,spal,3025,,
2014-11-18,fluxa,t6,spal,3025,,
2014-12-09,fluxa,m1,spal,625,,
2014-12-09,fluxa,m2,spal,625,,
2014-12-09,fluxa,m3,spal,625,,
2014-12-09,fluxa,m4,spal,625,,
2014-12-09,fluxa,m5,spal,625,,
2014-12-09,fluxa,m6,spal,625,,
2014-12-09,fluxa,s1,spal,625,,
2014-12-09,fluxa,s2,spal,625,,
2014-12-09,fluxa,s3,spal,625,,
2014-12-09,fluxa,s4,spal,625,,
2014-12-09,fluxa,s5,spal,625,,
2014-12-09,fluxa,s6,spal,625,,
2014-12-09,fluxa,t1,spal,3025,,
2014-12-09,fluxa,t2,spal,3025,,
2014-12-09,fluxa,t3,spal,3025,,
2014-12-09,fluxa,t4,spal,3025,,
2014-12-09,fluxa,t5,spal,3025,,
2014-12-09,fluxa,t6,spal,3025,,
2015-01-14,fluxa,m1,spal,625,,
2015-01-14,fluxa,m2,spal,625,,
2015-01-14,fluxa,m3,spal,625,,
2015-01-14,fluxa,m4,spal,625,,
2015-01-14,fluxa,m5,spal,625,,
2015-01-14,fluxa,m6,spal,625,,
2015-01-14,fluxa,s1,spal,625,,
2015-01-14,fluxa,s2,spal,625,,
2015-01-14,fluxa,s3,spal,625,,
2015-01-14,fluxa,s4,spal,625,,
2015-01-14,fluxa,s5,spal,625,,
2015-01-14,fluxa,s6,spal,625,,
2015-01-14,fluxa,t1,spal,3025,,
2015-01-14,fluxa,t2,spal,3025,,
2015-01-14,fluxa,t3,spal,3025,,
2015-01-14,fluxa,t4,spal,3025,,
2015-01-14,fluxa,t5,spal,3025,,
2015-01-14,fluxa,t6,spal,3025,,
2015-02-12,fluxa,m1,spal,625,,
2015-02-12,fluxa,m2,spal,625,,
2015-02-12,fluxa,m3,spal,625,,
2015-02-12,fluxa,m4,spal,625,,
2015-02-12,fluxa,m5,spal,625,,
2015-02-12,fluxa,m6,spal,625,,
2015-02-12,fluxa,s1,spal,625,,
2015-02-12,fluxa,s2,spal,625,,
2015-02-12,fluxa,s3,spal,625,,
2015-02-12,fluxa,s4,spal,625,,
2015-02-12,fluxa,s5,spal,625,,
2015-02-12,fluxa,s6,spal,625,,
2015-02-12,fluxa,t1,spal,3025,,
2015-02-12,fluxa,t2,spal,3025,,
2015-02-12,fluxa,t3,spal,3025,,
2015-02-12,fluxa,t4,spal,3025,,
2015-02-12,fluxa,t5,spal,3025,,
2015-02-12,fluxa,t6,spal,3025,,
2015-03-25,fluxa,m1,spal,625,,
2015-03-25,fluxa,m2,spal,625,,
2015-03-25,fluxa,m3,spal,625,,
2015-03-25,fluxa,m4,spal,625,,
2015-03-25,fluxa,m5,spal,625,,
2015-03-25,fluxa,m6,spal,625,,
2015-03-25,fluxa,s1,spal,625,,
2015-03-25,fluxa,s2,spal,625,,
2015-03-25,fluxa,s3,spal,625,,
2015-03-25,fluxa,s4,spal,625,,
2015-03-25,fluxa,s5,spal,625,,
2015-03-25,fluxa,s6,spal,625,,
2015-03-25,fluxa,t1,spal,3025,,
2015-03-25,fluxa,t2,spal,3025,,
2015-03-25,fluxa,t3,spal,3025,,
2015-03-25,fluxa,t4,spal,3025,,
2015-03-25,fluxa,t5,spal,3025,,
2015-03-25,fluxa,t6,spal,3025,,
2015-04-14,fluxa,m1,spal,625,,
2015-04-14,fluxa,m2,spal,625,,
2015-04-14,fluxa,m3,spal,625,,
2015-04-14,fluxa,m4,spal,625,,
2015-04-14,fluxa,m5,spal,625,,
2015-04-14,fluxa,m6,spal,625,,
2015-04-14,fluxa,s1,spal,625,,
2015-04-14,fluxa,s2,spal,625,,
2015-04-14,fluxa,s3,spal,625,,
2015-04-14,fluxa,s4,spal,625,,
2015-04-14,fluxa,s5,spal,625,,
2015-04-14,fluxa,s6,spal,625,,
2015-04-14,fluxa,t1,spal,3025,,
2015-04-14,fluxa,t2,spal,3025,,
2015-04-14,fluxa,t3,spal,3025,,
2015-04-14,fluxa,t4,spal,3025,,
2015-04-14,fluxa,t5,spal,3025,,
2015-04-14,fluxa,t6,spal,3025,,
2015-05-13,fluxa,m1,spal,625,,
2015-05-13,fluxa,m2,spal,625,,
2015-05-13,fluxa,m3,spal,625,,
2015-05-13,fluxa,m4,spal,625,,
2015-05-13,fluxa,m5,spal,625,,
2015-05-13,fluxa,m6,spal,625,,
2015-05-13,fluxa,s1,spal,625,,
2015-05-13,fluxa,s2,spal,625,,
2015-05-13,fluxa,s3,spal,625,,
2015-05-13,fluxa,s4,spal,625,,
2015-05-13,fluxa,s5,spal,625,,
2015-05-13,fluxa,s6,spal,625,,
2015-05-13,fluxa,t1,spal,3025,,
2015-05-13,fluxa,t2,spal,3025,,
2015-05-13,fluxa,t3,spal,3025,,
2015-05-13,fluxa,t4,spal,3025,,
2015-05-13,fluxa,t5,spal,3025,,
2015-05-13,fluxa,t6,spal,3025,,
2015-06-25,fluxa,m1,spal,625,,
2015-06-25,fluxa,m2,spal,625,,
2015-06-25,fluxa,m3,spal,625,,
2015-06-25,fluxa,m4,spal,625,,
2015-06-25,fluxa,m5,spal,625,,
2015-06-25,fluxa,m6,spal,625,,
2015-06-25,fluxa,s1,spal,625,,
2015-06-25,fluxa,s2,spal,625,,
2015-06-25,fluxa,s3,spal,625,,
2015-06-25,fluxa,s4,spal,625,,
2015-06-25,fluxa,s5,spal,625,,
2015-06-25,fluxa,s6,spal,625,,
2015-06-25,fluxa,t1,spal,3025,,
2015-06-25,fluxa,t2,spal,3025,,
2015-06-25,fluxa,t3,spal,3025,,
2015-06-25,fluxa,t4,spal,3025,,
2015-06-25,fluxa,t5,spal,3025,,
2015-06-25,fluxa,t6,spal,3025,,
2015-07-26,fluxa,m1,spal,625,,
2015-07-26,fluxa,m2,spal,625,,
2015-07-26,fluxa,m3,spal,625,,
2015-07-26,fluxa,m4,spal,625,,
2015-07-26,fluxa,m5,spal,625,,
2015-07-26,fluxa,m6,spal,625,,
2015-07-26,fluxa,s1,spal,625,,
2015-07-26,fluxa,s2,spal,625,,
2015-07-26,fluxa,s3,spal,625,,
2015-07-26,fluxa,s4,spal,625,,
2015-07-26,fluxa,s5,spal,625,,
2015-07-26,fluxa,s6,spal,625,,
2015-07-26,fluxa,t1,spal,3025,,
2015-07-26,fluxa,t2,spal,3025,,
2015-07-26,fluxa,t3,spal,3025,,
2015-07-26,fluxa,t4,spal,3025,,
2015-07-26,fluxa,t5,spal,3025,,
2015-07-26,fluxa,t6,spal,3025,,
2015-08-27,fluxa,m1,spal,625,,
2015-08-27,fluxa,m2,spal,625,,
2015-08-27,fluxa,m3,spal,625,,
2015-08-27,fluxa,m4,spal,625,,
2015-08-27,fluxa,m5,spal,625,,
2015-08-27,fluxa,m6,spal,625,,
2015-08-27,fluxa,s1,spal,625,,
2015-08-27,fluxa,s2,spal,625,,
2015-08-27,fluxa,s3,spal,625,,
2015-08-27,fluxa,s4,spal,625,,
2015-08-27,fluxa,s5,spal,625,,
2015-08-27,fluxa,s6,spal,625,,
2015-08-27,fluxa,t1,spal,3025,,
2015-08-27,fluxa,t2,spal,3025,,
2015-08-27,fluxa,t3,spal,3025,,
2015-08-27,fluxa,t4,spal,3025,,
2015-08-27,fluxa,t5,spal,3025,,
2015-08-27,fluxa,t6,spal,3025,,
2015-09-23,fluxa,m1,spal,625,,
2015-09-23,fluxa,m2,spal,625,,
2015-09-23,fluxa,m3,spal,625,,
2015-09-23,fluxa,m4,spal,625,,
2015-09-23,fluxa,m5,spal,625,,
2015-09-23,fluxa,m6,spal,625,,
2015-09-23,fluxa,s1,spal,625,,
2015-09-23,fluxa,s2,spal,625,,
2015-09-23,fluxa,s3,spal,625,,
2015-09-23,fluxa,s4,spal,625,,
2015-09-23,fluxa,s5,spal,625,,
2015-09-23,fluxa,s6,spal,625,,
2015-09-23,fluxa,t1,spal,3025,,
2015-09-23,fluxa,t2,spal,3025,,
2015-09-23,fluxa,t3,spal,3025,,
2015-09-23,fluxa,t4,spal,3025,,
2015-09-23,fluxa,t5,spal,3025,,
2015-09-23,fluxa,t6,spal,3025,,
2015-10-28,fluxa,m1,spal,625,,
2015-10-28,fluxa,m2,spal,625,,
2015-10-28,fluxa,m3,spal,625,,
2015-10-28,fluxa,m4,spal,625,,
2015-10-28,fluxa,m5,spal,625,,
2015-10-28,fluxa,m6,spal,625,,
2015-10-28,fluxa,s1,spal,625,,
2015-10-28,fluxa,s2,spal,625,,
2015-10-28,fluxa,s3,spal,625,,
2015-10-28,fluxa,s4,spal,625,,
2015-10-28,fluxa,s5,spal,625,,
2015-10-28,fluxa,s6,spal,625,,
2015-10-28,fluxa,t1,spal,3025,,
2015-10-28,fluxa,t2,spal,3025,,
2015-10-28,fluxa,t3,spal,3025,,
2015-10-28,fluxa,t4,spal,3025,,
2015-10-28,fluxa,t5,spal,3025,,
2015-10-28,fluxa,t6,spal,3025,,
2015-11-20,fluxa,m1,spal,625,,
2015-11-20,fluxa,m2,spal,625,,
2015-11-20,fluxa,m3,spal,625,,
2015-11-20,fluxa,m4,spal,625,,
2015-11-20,fluxa,m5,spal,625,,
2015-11-20,fluxa,m6,spal,625,,
2015-11-20,fluxa,s1,spal,625,,
2015-11-20,fluxa,s2,spal,625,,
2015-11-20,fluxa,s3,spal,625,,
2015-11-20,fluxa,s4,spal,625,,
2015-11-20,fluxa,s5,spal,625,,
2015-11-20,fluxa,s6,spal,625,,
2015-11-20,fluxa,t1,spal,3025,,
2015-11-20,fluxa,t2,spal,3025,,
2015-11-20,fluxa,t3,spal,3025,,
2015-11-20,fluxa,t4,spal,3025,,
2015-11-20,fluxa,t5,spal,3025,,
2015-11-20,fluxa,t6,spal,3025,,
2015-12-21,fluxa,m1,spal,625,,
2015-12-21,fluxa,m2,spal,625,,
2015-12-21,fluxa,m3,spal,625,,
2015-12-21,fluxa,m4,spal,625,,
2015-12-21,fluxa,m5,spal,625,,
2015-12-21,fluxa,m6,spal,625,,
2015-12-21,fluxa,s1,spal,625,,
2015-12-21,fluxa,s2,spal,625,,
2015-12-21,fluxa,s3,spal,625,,
2015-12-21,fluxa,s4,spal,625,,
2015-12-21,fluxa,s5,spal,625,,
2015-12-21,fluxa,s6,spal,625,,
2015-12-21,fluxa,t1,spal,3025,,
2015-12-21,fluxa,t2,spal,3025,,
2015-12-21,fluxa,t3,spal,3025,,
2015-12-21,fluxa,t4,spal,3025,,
2015-12-21,fluxa,t5,spal,3025,,
2015-12-21,fluxa,t6,spal,3025,,
2016-01-26,fluxa,m1,spal,625,,
2016-01-26,fluxa,m2,spal,625,,
2016-01-26,fluxa,m3,spal,625,,
2016-01-26,fluxa,m4,spal,625,,
2016-01-26,fluxa,m5,spal,625,,
2016-01-26,fluxa,m6,spal,625,,
2016-01-26,fluxa,s1,spal,625,,
2016-01-26,fluxa,s2,spal,625,,
2016-01-26,fluxa,s3,spal,625,,
2016-01-26,fluxa,s4,spal,625,,
2016-01-26,fluxa,s5,spal,625,,
2016-01-26,fluxa,s6,spal,625,,
2016-01-26,fluxa,t1,spal,3025,,
2016-01-26,fluxa,t2,spal,3025,,
2016-01-26,fluxa,t3,spal,3025,,
2016-01-26,fluxa,t4,spal,3025,,
2016-01-26,fluxa,t5,spal,3025,,
2016-01-26,fluxa,t6,spal,3025,,
2016-02-19,fluxa,m1,spal,625,,
2016-02-19,fluxa,m2,spal,625,,
2016-02-19,fluxa,m3,spal,625,,
2016-02-19,fluxa,m4,spal,625,,
2016-02-19,fluxa,m5,spal,625,,
2016-02-19,fluxa,m6,spal,625,,
2016-02-19,fluxa,s1,spal,625,,
2016-02-19,fluxa,s2,spal,625,,
2016-02-19,fluxa,s3,spal,625,,
2016-02-19,fluxa,s4,spal,625,,
2016-02-19,fluxa,s5,spal,625,,
2016-02-19,fluxa,s6,spal,625,,
2016-02-19,fluxa,t1,spal,3025,,
2016-02-19,fluxa,t2,spal,3025,,
2016-02-19,fluxa,t3,spal,3025,,
2016-02-19,fluxa,t4,spal,3025,,
